t,a
3.291972399,-0.044433594
3.298437834,0.009521484
3.304892778,0.0078125
3.311364412,0.019287109
3.317822218,0.010742188
3.324244022,-0.013671875
3.33069396,-0.062011719
3.337117195,-0.117431641
3.34345603,-0.160400391
3.348978281,-0.180175781
3.354482651,-0.195068359
3.360001802,-0.252197266
3.365533113,-0.285400391
3.371058941,-0.285400391
3.376585484,-0.197998047
3.382107019,-0.114501953
3.387628078,-0.081298828
3.393151283,-0.077148438
3.398673058,-0.068115234
3.404193163,-0.075683594
3.409724712,-0.039306641
3.415258169,-0.068603516
3.420783043,-0.123046875
3.426307917,-0.189941406
3.431832552,-0.162109375
3.437357903,-0.171630859
3.443348169,-0.209472656
3.449792385,-0.221435547
3.456237555,-0.116943359
3.462681055,-0.041503906
3.46912384,0.055908203
3.475565195,0.071289063
3.482007504,0.002197266
3.488447905,-0.003173828
3.49488759,-0.038574219
3.501324415,-0.093261719
3.507763147,-0.063720703
3.514201403,-0.072021484
3.520650864,-0.093261719
3.527096272,-0.009521484
3.533536673,-0.05859375
3.540014744,-0.089355469
3.546461344,-0.116455078
3.552899361,-0.151367188
3.559347391,-0.235839844
3.565787792,-0.313964844
3.57222724,-0.410400391
3.578704834,-0.426025391
3.585207224,-0.489013672
3.591663122,-0.578857422
3.598117352,-0.634521484
3.604535818,-0.643310547
3.610977173,-0.638916016
3.617575407,-0.598876953
3.624768734,-0.596435547
3.631636143,-0.568115234
3.638138533,-0.524902344
3.644142389,-0.497070313
3.648975372,-0.499511719
3.653785706,-0.490722656
3.658599377,-0.484375
3.663413286,-0.460205078
3.66822958,-0.426757813
3.673040867,-0.380859375
3.677850485,-0.36328125
3.682661057,-0.325683594
3.687474251,-0.3203125
3.692286491,-0.333251953
3.697103739,-0.347167969
3.701938868,-0.369384766
3.706771135,-0.379882813
3.71160388,-0.432128906
3.716439009,-0.436279297
3.721266508,-0.463378906
3.726098537,-0.480224609
3.73093009,-0.483886719
3.735760212,-0.489990234
3.740596771,-0.484130859
3.746296406,-0.501464844
3.752743244,-0.503662109
3.759186506,-0.427490234
3.765632391,-0.387695313
3.772077084,-0.333251953
3.778554916,-0.327880859
3.78500104,-0.302001953
3.79144454,-0.296142578
3.797887564,-0.273925781
3.804341078,-0.237792969
3.810790777,-0.180664063
3.817242622,-0.189941406
3.823687315,-0.201416016
3.830134153,-0.233642578
3.8365798,-0.274169922
3.843063354,-0.297851563
3.849505901,-0.338378906
3.85595417,-0.338134766
3.862410069,-0.331054688
3.868858099,-0.310546875
3.875301123,-0.199462891
3.881783009,-0.171142578
3.888237953,-0.055175781
3.894684792,0.004882813
3.901130438,0.031494141
3.907576561,0.008544922
3.914020777,-0.066162109
3.920469999,-0.138427734
3.926916361,-0.294921875
3.933363676,-0.408447266
